scenario,calibration_mode,route,route_label,mean_licensed_discovery_utility,mean_cost_normalized_utility,mean_true_licensed_claims,mean_overclaim_rate,mean_evaluator_strength,mean_calibration_quality,mean_goal_clarity,mean_route_domain_applicability,licensed_ordering_share,rank,scenario_label,mean_claim_gap,mean_overclaim_gap,mean_claim_calibration_accuracy,mean_final_claim_level,mean_licensed_claim_level,terminal_mean_overclaim_gap,terminal_mean_overclaim_rate
base_model_scaling,imperfect,llm_research_assistant,Human-led LLM assistant,0.025170719555071257,0.09314442777088243,0.12617077236092783,0.10431862461821982,0.5169642398980344,0.5972173270709769,0.6633333333333333,0.6733333333333333,0.8333333333333334,5,Base model-only scaling,0.04888339492605877,0.15,0.6031148485413113,4.266666666666667,4.116666666666666,0.16666666666666666,0.10428697941022547
base_model_scaling,imperfect,self_driving_laboratory,Self-driving laboratory,0.02412253667514018,0.03671071472987567,0.08295611533912504,0.03248472879126753,0.7392597629449156,0.7695827941788047,0.6633333333333333,0.5416666666666665,0.8333333333333334,6,Base model-only scaling,0.0,0.0,1.0,5.016666666666667,5.016666666666667,0.0,0.032393442035126084
base_model_scaling,imperfect,ai_scientist_pipeline,End-to-end AI scientist pipeline,0.021468510697575313,0.07692098056091881,0.15046856783640822,0.14832599522168463,0.4935349958147203,0.48481753019664386,0.6633333333333333,0.6333333333333333,0.8333333333333334,7,Base model-only scaling,0.13990772946199476,0.6833333333333333,0.5150483987315655,5.25,4.566666666666666,0.6666666666666666,0.14384720972211784
calibration_governance,imperfect,hybrid_calibrated_loop,Hybrid-Cal loop,0.13150924754955895,0.3285373972817223,0.20559256498618453,2.233862108030232e-06,0.7833705704462204,1.0,0.6633333333333333,0.8,0.8333333333333334,1,Calibration governance,0.0,0.0,1.0,4.166666666666667,4.166666666666667,0.0,5.277497500056027e-07
calibration_governance,imperfect,multi_agent_coscientist,Multi-agent co-scientist,0.09784306591828748,0.260663252409337,0.21009485759928107,0.03397925156974313,0.6231173154806726,0.7779670600318193,0.6633333333333333,0.7016666666666667,0.8333333333333334,2,Calibration governance,1.2711572430550227e-05,0.0,0.9991211753438609,4.883333333333334,4.883333333333334,0.0,0.03412248664861984
calibration_governance,imperfect,algorithmic_math_agent,Algorithmic and mathematical discovery agent,0.09623917625459871,0.3672912734369849,0.2185007743823534,3.2604838060215704e-06,0.8745620667852598,0.9913015639802952,0.6633333333333333,0.4833333333333334,0.8333333333333334,3,Calibration governance,0.0,0.0,1.0,4.533333333333333,4.533333333333333,0.0,3.033147961507739e-06
calibration_governance,imperfect,specialized_foundation_model,Specialized foundation model,0.06988248399653257,0.1530848696363281,0.14351561578413893,0.00691557617100349,0.6845428885258513,0.8439408087170449,0.6633333333333333,0.655,0.8333333333333334,4,Calibration governance,0.0,0.0,1.0,4.0,4.0,0.0,0.006888288826596953
calibration_governance,imperfect,llm_research_assistant,Human-led LLM assistant,0.0695834848545815,0.24454072656278159,0.15602686242099914,0.027704529274353032,0.5825955267487265,0.7439489162789411,0.6633333333333333,0.6733333333333333,0.8333333333333334,5,Calibration governance,1.027310909456827e-05,0.0,0.9991702850406602,3.8833333333333333,3.8833333333333333,0.0,0.02763510731875615
calibration_governance,imperfect,ai_scientist_pipeline,End-to-end AI scientist pipeline,0.0626514168628975,0.20056712953635666,0.18698915757924264,0.09489728759131538,0.5580322897396565,0.6314882086305249,0.6633333333333333,0.6333333333333333,0.8333333333333334,6,Calibration governance,0.03749839688261822,0.03333333333333333,0.6806374713540605,5.116666666666666,5.083333333333333,0.0,0.09398648511456763
calibration_governance,imperfect,self_driving_laboratory,Self-driving laboratory,0.03696318507902385,0.05565236085289702,0.09730425428336664,0.0011860328191372683,0.8160161394338811,0.9171006143757346,0.6633333333333333,0.5416666666666665,0.8333333333333334,7,Calibration governance,0.0,0.0,1.0,4.266666666666667,4.266666666666667,0.0,0.0012182561189379264
cheap_lab_future,imperfect,hybrid_calibrated_loop,Hybrid-Cal loop,0.1271304420456282,0.3828689168780822,0.2097114668098619,0.020767159058346085,0.8244140716458922,0.9380606364063413,0.6633333333333333,0.8,0.8333333333333334,1,Cheap laboratory future,0.0,0.0,1.0,5.25,5.25,0.0,0.020555916212668317
cheap_lab_future,imperfect,algorithmic_math_agent,Algorithmic and mathematical discovery agent,0.092417932404636,0.3551385081924481,0.21929186648854723,0.02035447082199312,0.913368468985414,0.8868071722213252,0.6633333333333333,0.4833333333333334,0.8333333333333334,2,Cheap laboratory future,0.0,0.0,1.0,5.766666666666667,5.766666666666667,0.0,0.019320869161826803
cheap_lab_future,imperfect,multi_agent_coscientist,Multi-agent co-scientist,0.07534770085969042,0.23030542671276397,0.20706220434661377,0.08809036755136732,0.659543243888598,0.6716758429851111,0.6633333333333333,0.7016666666666667,0.8333333333333334,3,Cheap laboratory future,0.018270300618690637,0.06666666666666667,0.7856961863562499,5.783333333333333,5.716666666666667,0.0,0.0811584420903732
cheap_lab_future,imperfect,specialized_foundation_model,Specialized foundation model,0.06104228575894498,0.1554306416503257,0.14373272643353435,0.03704843995500132,0.722902250573903,0.7380112011489625,0.6633333333333333,0.655,0.8333333333333334,4,Cheap laboratory future,0.0,0.0,1.0,4.966666666666667,4.966666666666667,0.0,0.03702791054491558
